측정소,측정일시,미세먼지(PM10),초미세먼지(PM2.5),오존(O3),이산화질소(NO2),일산화탄소(CO),아황산가스(SO2),PM10등급,PM25등급
중구,2026-03-20 12:00,34,20,0.042,0.020,0.3,0.003,2,2
한강대로,2026-03-20 12:00,57,18,0.041,0.022,0.4,0.003,2,2
종로구,2026-03-20 12:00,34,16,0.042,0.020,0.4,0.002,2,2
청계천로,2026-03-20 12:00,40,18,0.038,0.025,0.4,0.002,2,2
종로,2026-03-20 12:00,42,16,0.040,0.021,0.4,0.003,2,2
용산구,2026-03-20 12:00,46,22,0.042,0.020,0.3,0.003,2,2
광진구,2026-03-20 12:00,38,16,0.037,0.018,0.4,0.004,2,2
성동구,2026-03-20 12:00,41,18,0.042,0.025,0.3,0.003,2,1
강변북로,2026-03-20 12:00,54,18,0.029,0.037,0.4,0.004,2,2
중랑구,2026-03-20 12:00,41,23,0.039,0.019,0.4,0.003,2,2
동대문구,2026-03-20 12:00,36,14,0.040,0.017,0.3,0.003,2,1
홍릉로,2026-03-20 12:00,41,13,0.034,0.025,0.5,0.003,2,1
성북구,2026-03-20 12:00,49,20,0.033,0.017,0.4,0.003,2,2
정릉로,2026-03-20 12:00,38,16,0.035,0.029,0.4,0.002,2,1
도봉구,2026-03-20 12:00,41,23,0.049,0.014,0.4,0.003,2,2
은평구,2026-03-20 12:00,-,19,0.044,0.015,0.4,0.003,,2
서대문구,2026-03-20 12:00,36,17,0.047,0.017,0.4,0.003,1,2
마포구,2026-03-20 12:00,33,11,0.046,0.017,0.3,0.002,2,1
신촌로,2026-03-20 12:00,42,12,0.035,0.028,0.5,0.003,2,1
강서구,2026-03-20 12:00,34,10,0.043,0.018,0.3,0.003,2,1
공항대로,2026-03-20 12:00,46,14,0.040,0.022,0.3,0.003,2,1
구로구,2026-03-20 12:00,43,6,0.046,0.015,0.3,0.003,2,1
영등포구,2026-03-20 12:00,27,11,0.046,0.015,0.3,0.003,1,1
영등포로,2026-03-20 12:00,43,14,0.032,0.031,0.4,0.003,2,2
동작구,2026-03-20 12:00,31,11,0.050,0.013,0.3,0.003,1,1
동작대로 중앙차로,2026-03-20 12:00,37,18,0.036,0.028,0.3,0.003,2,2
관악구,2026-03-20 12:00,34,11,0.046,0.015,0.3,0.003,2,1
강남구,2026-03-20 12:00,35,14,0.040,0.018,0.3,0.003,2,1
서초구,2026-03-20 12:00,47,16,0.038,0.021,0.3,0.003,2,2
도산대로,2026-03-20 12:00,43,13,0.042,0.019,0.5,0.003,2,1
강남대로,2026-03-20 12:00,47,20,0.033,0.022,0.4,0.003,2,2
송파구,2026-03-20 12:00,-,-,-,-,-,-,,
강동구,2026-03-20 12:00,55,27,0.045,0.017,0.4,0.003,2,2
천호대로,2026-03-20 12:00,40,19,0.041,0.019,0.4,0.003,,
금천구,2026-03-20 12:00,37,18,0.049,0.015,0.5,0.003,2,2
시흥대로,2026-03-20 12:00,37,12,0.040,0.021,0.3,0.003,2,1
강북구,2026-03-20 12:00,37,16,0.046,0.014,0.3,0.002,2,1
양천구,2026-03-20 12:00,25,6,0.047,0.016,0.3,0.003,2,1
노원구,2026-03-20 12:00,41,21,0.043,0.017,0.3,0.002,2,2
화랑로,2026-03-20 12:00,47,19,0.036,0.028,0.4,0.003,2,2
